"Dataset","Emb. dim","Reg. loss","Class. loss","Batch","Margin","Model","Trained Layers","Whitening","Ind. loss","Epochs","P@1","P@3","P@5","P@10","MAP","Independence","Sparsity"
"CIFAR10",1024,"","Enable","10/10",0.2,"ResNet18",1,"Disable","",1,0.800000011920929,0.7900000214576721,0.7999999523162842,0.7730000019073486,0.5533677339553833,0.1509692370891571,0.2473944127559662
"CIFAR10",1024,"","Enable","10/10",0.2,"ResNet18",1,"Disable","",2,0.8100000023841858,0.800000011920929,0.7919999957084656,0.7850000262260437,0.6016985774040222,0.19682517647743225,0.24679014086723328
"CIFAR10",1024,"","Enable","10/10",0.2,"ResNet18",1,"Disable","",3,0.7900000214576721,0.7933333516120911,0.7900000214576721,0.784000039100647,0.614910364151001,0.21383872628211975,0.2505646347999573
"CIFAR10",1024,"","Enable","10/10",0.2,"ResNet18",1,"Disable","",4,0.800000011920929,0.8233333826065063,0.8100000023841858,0.7910000681877136,0.6269757747650146,0.2154848873615265,0.26038578152656555
"CIFAR10",1024,"","Enable","10/10",0.2,"ResNet18",1,"Disable","",5,0.800000011920929,0.800000011920929,0.796000063419342,0.8020000457763672,0.6299514770507812,0.21263602375984192,0.24100983142852783
"CIFAR10",1024,"","Enable","10/10",0.2,"ResNet18",1,"Disable","",6,0.8199999928474426,0.8233333826065063,0.8139999508857727,0.8069999814033508,0.6313081979751587,0.20804107189178467,0.2271760106086731
"CIFAR10",1024,"","Enable","10/10",0.2,"ResNet18",1,"Disable","",7,0.800000011920929,0.8333333730697632,0.8180000185966492,0.812000036239624,0.624993622303009,0.2015666961669922,0.22359906136989594
"CIFAR10",1024,"","Enable","10/10",0.2,"ResNet18",1,"Disable","",8,0.8199999928474426,0.8200000524520874,0.8219999670982361,0.7950000166893005,0.6260327100753784,0.19644194841384888,0.2309456765651703
"CIFAR10",1024,"","Enable","10/10",0.2,"ResNet18",1,"Disable","",9,0.800000011920929,0.8133333325386047,0.8019999861717224,0.8040000200271606,0.6260538101196289,0.1927492916584015,0.21732915937900543
"CIFAR10",1024,"","Enable","10/10",0.2,"ResNet18",1,"Disable","",10,0.800000011920929,0.800000011920929,0.809999942779541,0.8080000877380371,0.6273821592330933,0.19007527828216553,0.2181970328092575
