"Dataset","Emb. dim","Reg. loss","Class. loss","Batch","Margin","Model","Trained Layers","Whitening","Ind. loss","Epochs","P@1","P@3","P@5","P@10","MAP","Correlation","Sparsity"
"CIFAR10",1024,"","Enable","10/10",0.2,"ResNet18",1,"Disable","NegApproxLoss1",2,0.800000011920929,0.7766666412353516,0.7660000324249268,0.765999972820282,0.5916237831115723,0.22751599550247192,3.0924479688110296e-07
"CIFAR10",1024,"","Enable","10/10",0.2,"ResNet18",1,"Disable","NegApproxLoss1",4,0.7699999809265137,0.7699999809265137,0.7599999308586121,0.7680000066757202,0.6115628480911255,0.2272522896528244,3.906249901319825e-07
"CIFAR10",1024,"","Enable","10/10",0.2,"ResNet18",1,"Disable","NegApproxLoss1",6,0.7900000214576721,0.7900000810623169,0.7699999809265137,0.7720000743865967,0.6110488176345825,0.21677424013614655,2.766927025277255e-07
"CIFAR10",1024,"","Enable","10/10",0.2,"ResNet18",1,"ZCA2","NegApproxLoss1",2,0.800000011920929,0.7900000214576721,0.7780000567436218,0.7600000500679016,0.46479466557502747,0.09599079191684723,0.0
"CIFAR10",1024,"","Enable","10/10",0.2,"ResNet18",1,"ZCA2","NegApproxLoss1",4,0.800000011920929,0.7766666412353516,0.7499999403953552,0.7569999694824219,0.5002149343490601,0.11412619054317474,9.765624753299562e-08
"CIFAR10",1024,"","Enable","10/10",0.2,"ResNet18",1,"ZCA2","NegApproxLoss1",6,0.800000011920929,0.7633333802223206,0.7559999227523804,0.7489999532699585,0.5046627521514893,0.12228621542453766,1.6276041847618217e-08
"CIFAR10",1024,"","Enable","10/10",0.2,"ResNet18","All","Disable","NegApproxLoss1",2,0.949999988079071,0.9433334469795227,0.9359999895095825,0.9350000619888306,0.9347929954528809,0.27776917815208435,9.440104236091429e-07
"CIFAR10",1024,"","Enable","10/10",0.2,"ResNet18","All","Disable","NegApproxLoss1",4,0.9399999976158142,0.940000057220459,0.9420000314712524,0.9429999589920044,0.9412597417831421,0.2736530303955078,1.074218744179234e-06
"CIFAR10",1024,"","Enable","10/10",0.2,"ResNet18","All","Disable","NegApproxLoss1",6,0.9399999976158142,0.9300000667572021,0.9300000071525574,0.9319999814033508,0.9489389657974243,0.27094388008117676,1.6601562720097718e-06
"CIFAR10",1024,"","Enable","10/10",0.2,"ResNet18","All","ZCA2","NegApproxLoss1",2,0.949999988079071,0.9433332681655884,0.9440000653266907,0.9480000138282776,0.9474742412567139,0.23387014865875244,6.510416739047287e-08
"CIFAR10",1024,"","Enable","10/10",0.2,"ResNet18","All","ZCA2","NegApproxLoss1",4,0.949999988079071,0.9433333873748779,0.9459999799728394,0.9459999799728394,0.9381725788116455,0.18321773409843445,2.278645894193687e-07
"CIFAR10",1024,"","Enable","10/10",0.2,"ResNet18","All","ZCA2","NegApproxLoss1",6,0.949999988079071,0.949999988079071,0.9539999961853027,0.9520000219345093,0.9556469917297363,0.14683306217193604,4.557291788387374e-07
