20-05-2023 10:12:22 $ Using device='cuda'
20-05-2023 10:12:23 $ Experiment 1/6
Model with configuration: dataset=CIFAR10, model=ResNet18, embedding_dim=1024, whitening=ZCA2, num_unfrozen_layers=1, ind. loss=NegApproxLoss1, reg. loss=None, class. loss=Enable, batch=10/40, margin=0.2, num_epochs_in_step=1, num_epoch_steps=20
20-05-2023 10:13:05 $ loss = 4.19, ranking_loss = 1.91, regularization_loss = 0.00, independence_loss = 0.22, classification_loss = 2.05, accuracy = 0.60
20-05-2023 10:15:12 $ loss = 3.62, ranking_loss = 1.74, regularization_loss = 0.00, independence_loss = 0.22, classification_loss = 1.66, accuracy = 0.77
20-05-2023 10:18:38 $ loss = 3.28, ranking_loss = 1.68, regularization_loss = 0.00, independence_loss = 0.22, classification_loss = 1.38, accuracy = 0.79
20-05-2023 10:22:18 $ loss = 3.03, ranking_loss = 1.65, regularization_loss = 0.00, independence_loss = 0.22, classification_loss = 1.16, accuracy = 0.80
20-05-2023 10:25:57 $ loss = 2.84, ranking_loss = 1.63, regularization_loss = 0.00, independence_loss = 0.22, classification_loss = 0.99, accuracy = 0.80
20-05-2023 10:29:36 $ loss = 2.71, ranking_loss = 1.61, regularization_loss = 0.00, independence_loss = 0.22, classification_loss = 0.87, accuracy = 0.81
20-05-2023 10:33:14 $ loss = 2.59, ranking_loss = 1.59, regularization_loss = 0.00, independence_loss = 0.22, classification_loss = 0.78, accuracy = 0.81
20-05-2023 10:36:51 $ loss = 2.51, ranking_loss = 1.58, regularization_loss = 0.00, independence_loss = 0.22, classification_loss = 0.71, accuracy = 0.82
20-05-2023 10:40:27 $ loss = 2.45, ranking_loss = 1.57, regularization_loss = 0.00, independence_loss = 0.22, classification_loss = 0.66, accuracy = 0.82
20-05-2023 10:44:08 $ loss = 2.40, ranking_loss = 1.56, regularization_loss = 0.00, independence_loss = 0.22, classification_loss = 0.63, accuracy = 0.82
20-05-2023 10:47:46 $ loss = 2.36, ranking_loss = 1.54, regularization_loss = 0.00, independence_loss = 0.22, classification_loss = 0.60, accuracy = 0.83
