16-05-2023 11:20:35 $ Using device='cuda'
16-05-2023 11:20:35 $ Experiment 1/1
Model with configuration: dataset=CIFAR10, model=ResNet18, embedding_dim=1024, whitening=ZCA2, num_unfrozen_layers=1, ind. loss=NegApproxLoss1, reg. loss=None, class. loss=Enable, batch=10/40, margin=0.2, num_epochs_in_step=1, num_epoch_steps=30
16-05-2023 11:21:16 $ loss = 5.08, ranking_loss = 1.93, regularization_loss = 0.00, independence_loss = 1.11, classification_loss = 2.04, accuracy = 0.61
16-05-2023 11:23:39 $ loss = 4.52, ranking_loss = 1.76, regularization_loss = 0.00, independence_loss = 1.11, classification_loss = 1.65, accuracy = 0.76
16-05-2023 11:27:28 $ loss = 4.17, ranking_loss = 1.70, regularization_loss = 0.00, independence_loss = 1.11, classification_loss = 1.36, accuracy = 0.78
16-05-2023 11:31:23 $ loss = 3.90, ranking_loss = 1.67, regularization_loss = 0.00, independence_loss = 1.09, classification_loss = 1.14, accuracy = 0.79
16-05-2023 11:35:16 $ loss = 3.71, ranking_loss = 1.65, regularization_loss = 0.00, independence_loss = 1.08, classification_loss = 0.98, accuracy = 0.80
16-05-2023 11:39:13 $ loss = 3.54, ranking_loss = 1.62, regularization_loss = 0.00, independence_loss = 1.07, classification_loss = 0.85, accuracy = 0.81
16-05-2023 11:43:08 $ loss = 3.41, ranking_loss = 1.60, regularization_loss = 0.00, independence_loss = 1.05, classification_loss = 0.77, accuracy = 0.81
16-05-2023 11:47:04 $ loss = 3.31, ranking_loss = 1.57, regularization_loss = 0.00, independence_loss = 1.03, classification_loss = 0.71, accuracy = 0.81
16-05-2023 11:51:02 $ loss = 3.22, ranking_loss = 1.54, regularization_loss = 0.00, independence_loss = 1.01, classification_loss = 0.67, accuracy = 0.81
16-05-2023 11:55:00 $ loss = 3.13, ranking_loss = 1.51, regularization_loss = 0.00, independence_loss = 0.99, classification_loss = 0.63, accuracy = 0.82
16-05-2023 11:58:58 $ loss = 3.08, ranking_loss = 1.48, regularization_loss = 0.00, independence_loss = 0.98, classification_loss = 0.62, accuracy = 0.82
16-05-2023 12:03:02 $ loss = 3.01, ranking_loss = 1.45, regularization_loss = 0.00, independence_loss = 0.97, classification_loss = 0.59, accuracy = 0.83
16-05-2023 12:07:03 $ loss = 2.95, ranking_loss = 1.41, regularization_loss = 0.00, independence_loss = 0.95, classification_loss = 0.58, accuracy = 0.83
16-05-2023 12:11:03 $ loss = 2.90, ranking_loss = 1.39, regularization_loss = 0.00, independence_loss = 0.95, classification_loss = 0.57, accuracy = 0.83
16-05-2023 12:14:54 $ loss = 2.87, ranking_loss = 1.37, regularization_loss = 0.00, independence_loss = 0.94, classification_loss = 0.56, accuracy = 0.83
16-05-2023 12:18:44 $ loss = 2.82, ranking_loss = 1.35, regularization_loss = 0.00, independence_loss = 0.93, classification_loss = 0.55, accuracy = 0.84
16-05-2023 12:22:42 $ loss = 2.80, ranking_loss = 1.33, regularization_loss = 0.00, independence_loss = 0.93, classification_loss = 0.54, accuracy = 0.83
16-05-2023 12:26:38 $ loss = 2.78, ranking_loss = 1.33, regularization_loss = 0.00, independence_loss = 0.92, classification_loss = 0.53, accuracy = 0.84
16-05-2023 12:30:21 $ loss = 2.75, ranking_loss = 1.31, regularization_loss = 0.00, independence_loss = 0.92, classification_loss = 0.52, accuracy = 0.84
16-05-2023 12:34:10 $ loss = 2.73, ranking_loss = 1.30, regularization_loss = 0.00, independence_loss = 0.92, classification_loss = 0.51, accuracy = 0.84
16-05-2023 12:38:04 $ loss = 2.71, ranking_loss = 1.30, regularization_loss = 0.00, independence_loss = 0.92, classification_loss = 0.50, accuracy = 0.84
16-05-2023 12:42:01 $ loss = 2.70, ranking_loss = 1.29, regularization_loss = 0.00, independence_loss = 0.92, classification_loss = 0.50, accuracy = 0.84
16-05-2023 12:45:42 $ loss = 2.67, ranking_loss = 1.27, regularization_loss = 0.00, independence_loss = 0.91, classification_loss = 0.49, accuracy = 0.84
16-05-2023 12:49:27 $ loss = 2.63, ranking_loss = 1.24, regularization_loss = 0.00, independence_loss = 0.91, classification_loss = 0.49, accuracy = 0.85
16-05-2023 12:53:24 $ loss = 2.61, ranking_loss = 1.22, regularization_loss = 0.00, independence_loss = 0.90, classification_loss = 0.49, accuracy = 0.85
16-05-2023 12:57:19 $ loss = 2.57, ranking_loss = 1.20, regularization_loss = 0.00, independence_loss = 0.90, classification_loss = 0.48, accuracy = 0.85
16-05-2023 13:01:00 $ loss = 2.56, ranking_loss = 1.19, regularization_loss = 0.00, independence_loss = 0.90, classification_loss = 0.48, accuracy = 0.85
16-05-2023 13:04:42 $ loss = 2.56, ranking_loss = 1.19, regularization_loss = 0.00, independence_loss = 0.89, classification_loss = 0.48, accuracy = 0.85
16-05-2023 13:08:33 $ loss = 2.54, ranking_loss = 1.18, regularization_loss = 0.00, independence_loss = 0.89, classification_loss = 0.47, accuracy = 0.85
16-05-2023 13:12:25 $ loss = 2.53, ranking_loss = 1.17, regularization_loss = 0.00, independence_loss = 0.89, classification_loss = 0.47, accuracy = 0.85
