20-05-2023 14:15:06 $ Using device='cuda'
20-05-2023 14:15:13 $ Experiment 1/2
Model with configuration: dataset=CIFAR10, model=ResNet18, embedding_dim=1024, whitening=Disable, num_unfrozen_layers=All, ind. loss=None, reg. loss=L1, class. loss=Enable, batch=10/10, margin=0.2, num_epochs_in_step=1, num_epoch_steps=10
20-05-2023 14:17:52 $ loss = 2.13, ranking_loss = 0.27, regularization_loss = 0.20, independence_loss = 0.00, classification_loss = 1.67, accuracy = 0.84
20-05-2023 14:22:04 $ loss = 0.96, ranking_loss = 0.17, regularization_loss = 0.20, independence_loss = 0.00, classification_loss = 0.58, accuracy = 0.96
20-05-2023 14:26:02 $ loss = 0.56, ranking_loss = 0.11, regularization_loss = 0.20, independence_loss = 0.00, classification_loss = 0.25, accuracy = 0.97
20-05-2023 14:30:01 $ loss = 0.40, ranking_loss = 0.08, regularization_loss = 0.19, independence_loss = 0.00, classification_loss = 0.12, accuracy = 0.98
20-05-2023 14:34:00 $ loss = 0.33, ranking_loss = 0.06, regularization_loss = 0.18, independence_loss = 0.00, classification_loss = 0.08, accuracy = 0.98
20-05-2023 14:38:00 $ loss = 0.28, ranking_loss = 0.05, regularization_loss = 0.17, independence_loss = 0.00, classification_loss = 0.07, accuracy = 0.99
20-05-2023 14:42:02 $ loss = 0.25, ranking_loss = 0.04, regularization_loss = 0.15, independence_loss = 0.00, classification_loss = 0.06, accuracy = 0.99
20-05-2023 14:46:05 $ loss = 0.22, ranking_loss = 0.03, regularization_loss = 0.14, independence_loss = 0.00, classification_loss = 0.05, accuracy = 0.99
20-05-2023 14:50:06 $ loss = 0.21, ranking_loss = 0.03, regularization_loss = 0.13, independence_loss = 0.00, classification_loss = 0.05, accuracy = 0.99
20-05-2023 14:54:08 $ loss = 0.19, ranking_loss = 0.02, regularization_loss = 0.12, independence_loss = 0.00, classification_loss = 0.05, accuracy = 0.99
20-05-2023 14:55:53 $ Experiment 2/2
Model with configuration: dataset=Oxford5k, model=ResNet18, embedding_dim=1024, whitening=Disable, num_unfrozen_layers=All, ind. loss=None, reg. loss=L1, class. loss=Enable, batch=10/10, margin=0.2, num_epochs_in_step=1, num_epoch_steps=10
20-05-2023 14:57:39 $ loss = 2.80, ranking_loss = 0.13, regularization_loss = 0.24, independence_loss = 0.00, classification_loss = 2.43, accuracy = 0.57
20-05-2023 15:01:15 $ loss = 2.52, ranking_loss = 0.04, regularization_loss = 0.22, independence_loss = 0.00, classification_loss = 2.25, accuracy = 0.97
20-05-2023 15:04:47 $ loss = 2.30, ranking_loss = 0.02, regularization_loss = 0.21, independence_loss = 0.00, classification_loss = 2.07, accuracy = 0.99
20-05-2023 15:08:19 $ loss = 2.18, ranking_loss = 0.02, regularization_loss = 0.20, independence_loss = 0.00, classification_loss = 1.96, accuracy = 0.99
20-05-2023 15:11:53 $ loss = 2.06, ranking_loss = 0.01, regularization_loss = 0.19, independence_loss = 0.00, classification_loss = 1.86, accuracy = 1.00
20-05-2023 15:15:26 $ loss = 1.97, ranking_loss = 0.01, regularization_loss = 0.19, independence_loss = 0.00, classification_loss = 1.76, accuracy = 1.00
20-05-2023 15:19:00 $ loss = 1.88, ranking_loss = 0.01, regularization_loss = 0.19, independence_loss = 0.00, classification_loss = 1.67, accuracy = 1.00
20-05-2023 15:22:33 $ loss = 1.78, ranking_loss = 0.01, regularization_loss = 0.19, independence_loss = 0.00, classification_loss = 1.58, accuracy = 1.00
20-05-2023 15:26:09 $ loss = 1.69, ranking_loss = 0.01, regularization_loss = 0.19, independence_loss = 0.00, classification_loss = 1.49, accuracy = 1.00
20-05-2023 15:29:43 $ loss = 1.60, ranking_loss = 0.00, regularization_loss = 0.19, independence_loss = 0.00, classification_loss = 1.41, accuracy = 1.00
