"Dataset","Emb. dim","Reg. loss","Class. loss","Batch","Margin","Model","Trained Layers","Whitening","Ind. loss","Epochs","P@1","P@3","P@5","P@10","MAP","Independence","Sparsity"
"CIFAR10",1024,"L1","Enable","10/10",0.2,"ResNet18","All","Disable","",1,0.9300000071525574,0.893333375453949,0.887999951839447,0.8920000195503235,0.8852508068084717,0.286604642868042,0.4422115087509155
"CIFAR10",1024,"L1","Enable","10/10",0.2,"ResNet18","All","Disable","",2,0.9100000262260437,0.9033333659172058,0.9120000600814819,0.9150000214576721,0.918067216873169,0.28064650297164917,0.4727056622505188
"CIFAR10",1024,"L1","Enable","10/10",0.2,"ResNet18","All","Disable","",3,0.949999988079071,0.9466666579246521,0.9480000138282776,0.9490000009536743,0.9560443162918091,0.27995389699935913,0.44376784563064575
"CIFAR10",1024,"L1","Enable","10/10",0.2,"ResNet18","All","Disable","",4,0.9300000071525574,0.9300000667572021,0.9260000586509705,0.9300000667572021,0.9417579770088196,0.2779003977775574,0.4327087104320526
"CIFAR10",1024,"L1","Enable","10/10",0.2,"ResNet18","All","Disable","",5,0.9599999785423279,0.9466666579246521,0.9440000057220459,0.9429999589920044,0.9477422833442688,0.2763447165489197,0.4025524854660034
"CIFAR10",1024,"L1","Enable","10/10",0.2,"ResNet18","All","Disable","",6,0.9300000071525574,0.9333332777023315,0.9340000152587891,0.9309999942779541,0.9414962530136108,0.26501378417015076,0.4222535490989685
"CIFAR10",1024,"L1","Enable","10/10",0.2,"ResNet18","All","Disable","",7,0.9300000071525574,0.9399999976158142,0.9439999461174011,0.9469999670982361,0.9540585279464722,0.24385976791381836,0.4173619747161865
"CIFAR10",1024,"L1","Enable","10/10",0.2,"ResNet18","All","Disable","",8,0.9700000286102295,0.9533333778381348,0.9539999961853027,0.9540001153945923,0.963727593421936,0.22001603245735168,0.44653379917144775
"CIFAR10",1024,"L1","Enable","10/10",0.2,"ResNet18","All","Disable","",9,0.949999988079071,0.9533333778381348,0.9480000138282776,0.9459999799728394,0.9514697194099426,0.2013084590435028,0.44697272777557373
"CIFAR10",1024,"L1","Enable","10/10",0.2,"ResNet18","All","Disable","",10,0.9399999976158142,0.9399999976158142,0.9359999895095825,0.9360000491142273,0.9533283710479736,0.18252527713775635,0.44404637813568115
"Oxford5k",1024,"L1","Enable","10/10",0.2,"ResNet18","All","Disable","",1,1.0,0.9939393401145935,0.9890908598899841,0.9145454168319702,0.9239107370376587,0.1812390685081482,0.3963649272918701
"Oxford5k",1024,"L1","Enable","10/10",0.2,"ResNet18","All","Disable","",2,1.0,0.9939393401145935,0.996363639831543,0.9254544973373413,0.9451555013656616,0.20874720811843872,0.2732192277908325
"Oxford5k",1024,"L1","Enable","10/10",0.2,"ResNet18","All","Disable","",3,1.0,1.0,1.0,0.9272726774215698,0.9383574724197388,0.23357948660850525,0.2758214771747589
"Oxford5k",1024,"L1","Enable","10/10",0.2,"ResNet18","All","Disable","",4,1.0,1.0,1.0,0.9254544973373413,0.9298241138458252,0.25908154249191284,0.3167254626750946
"Oxford5k",1024,"L1","Enable","10/10",0.2,"ResNet18","All","Disable","",5,1.0,1.0,1.0,0.9254544973373413,0.9388561844825745,0.2717413902282715,0.3332642614841461
"Oxford5k",1024,"L1","Enable","10/10",0.2,"ResNet18","All","Disable","",6,1.0,1.0,1.0,0.9272726774215698,0.9500596523284912,0.29008474946022034,0.38440385460853577
"Oxford5k",1024,"L1","Enable","10/10",0.2,"ResNet18","All","Disable","",7,1.0,0.9878787398338318,0.9890909194946289,0.9199999570846558,0.9422903060913086,0.2977414131164551,0.4038715660572052
"Oxford5k",1024,"L1","Enable","10/10",0.2,"ResNet18","All","Disable","",8,1.0,0.9939393401145935,0.996363639831543,0.9254544973373413,0.9563756585121155,0.3028041422367096,0.43927451968193054
"Oxford5k",1024,"L1","Enable","10/10",0.2,"ResNet18","All","Disable","",9,1.0,1.0,1.0,0.9254544973373413,0.944742739200592,0.3081781566143036,0.4335198998451233
"Oxford5k",1024,"L1","Enable","10/10",0.2,"ResNet18","All","Disable","",10,1.0,1.0,0.996363639831543,0.9254544973373413,0.9670560956001282,0.31298381090164185,0.47433900833129883
