20-05-2023 11:41:22 $ Using device='cuda'
20-05-2023 11:41:32 $ Experiment 1/3
Model with configuration: dataset=CIFAR10, model=ResNet18, embedding_dim=1024, whitening=Disable, num_unfrozen_layers=All, ind. loss=NegApproxLoss1, reg. loss=None, class. loss=Enable, batch=10/40, margin=0.2, num_epochs_in_step=1, num_epoch_steps=20
20-05-2023 11:44:09 $ loss = 4.03, ranking_loss = 0.27, regularization_loss = 0.00, independence_loss = 1.50, classification_loss = 2.27, accuracy = 0.59
20-05-2023 11:48:17 $ loss = 3.76, ranking_loss = 0.34, regularization_loss = 0.00, independence_loss = 1.50, classification_loss = 1.93, accuracy = 0.93
20-05-2023 11:52:10 $ loss = 3.37, ranking_loss = 0.34, regularization_loss = 0.00, independence_loss = 1.50, classification_loss = 1.52, accuracy = 0.96
20-05-2023 11:56:10 $ loss = 3.03, ranking_loss = 0.29, regularization_loss = 0.00, independence_loss = 1.50, classification_loss = 1.24, accuracy = 0.97
20-05-2023 12:00:05 $ loss = 2.74, ranking_loss = 0.24, regularization_loss = 0.00, independence_loss = 1.50, classification_loss = 0.99, accuracy = 0.98
20-05-2023 12:03:56 $ loss = 2.48, ranking_loss = 0.20, regularization_loss = 0.00, independence_loss = 1.50, classification_loss = 0.78, accuracy = 0.98
20-05-2023 12:07:53 $ loss = 2.25, ranking_loss = 0.16, regularization_loss = 0.00, independence_loss = 1.50, classification_loss = 0.60, accuracy = 0.99
20-05-2023 12:11:48 $ loss = 2.08, ranking_loss = 0.13, regularization_loss = 0.00, independence_loss = 1.50, classification_loss = 0.45, accuracy = 0.99
20-05-2023 12:15:51 $ loss = 1.94, ranking_loss = 0.11, regularization_loss = 0.00, independence_loss = 1.50, classification_loss = 0.34, accuracy = 0.99
20-05-2023 12:19:47 $ loss = 1.84, ranking_loss = 0.09, regularization_loss = 0.00, independence_loss = 1.50, classification_loss = 0.25, accuracy = 0.99
20-05-2023 12:23:44 $ loss = 1.76, ranking_loss = 0.08, regularization_loss = 0.00, independence_loss = 1.50, classification_loss = 0.19, accuracy = 0.99
20-05-2023 12:27:41 $ loss = 1.71, ranking_loss = 0.08, regularization_loss = 0.00, independence_loss = 1.49, classification_loss = 0.14, accuracy = 0.99
20-05-2023 12:31:52 $ loss = 1.66, ranking_loss = 0.06, regularization_loss = 0.00, independence_loss = 1.49, classification_loss = 0.10, accuracy = 1.00
20-05-2023 12:35:53 $ loss = 1.63, ranking_loss = 0.05, regularization_loss = 0.00, independence_loss = 1.49, classification_loss = 0.08, accuracy = 1.00
20-05-2023 12:39:49 $ loss = 1.59, ranking_loss = 0.04, regularization_loss = 0.00, independence_loss = 1.49, classification_loss = 0.06, accuracy = 1.00
20-05-2023 12:43:44 $ loss = 1.59, ranking_loss = 0.05, regularization_loss = 0.00, independence_loss = 1.49, classification_loss = 0.05, accuracy = 1.00
20-05-2023 12:47:39 $ loss = 1.58, ranking_loss = 0.05, regularization_loss = 0.00, independence_loss = 1.49, classification_loss = 0.04, accuracy = 1.00
20-05-2023 12:51:35 $ loss = 1.57, ranking_loss = 0.04, regularization_loss = 0.00, independence_loss = 1.49, classification_loss = 0.03, accuracy = 1.00
20-05-2023 12:55:31 $ loss = 1.55, ranking_loss = 0.03, regularization_loss = 0.00, independence_loss = 1.49, classification_loss = 0.03, accuracy = 1.00
20-05-2023 12:59:28 $ loss = 1.55, ranking_loss = 0.04, regularization_loss = 0.00, independence_loss = 1.49, classification_loss = 0.03, accuracy = 1.00
20-05-2023 13:01:09 $ Experiment 2/3
Model with configuration: dataset=CIFAR10, model=ResNet18, embedding_dim=1024, whitening=Disable, num_unfrozen_layers=All, ind. loss=NegApproxLoss2, reg. loss=None, class. loss=Enable, batch=10/40, margin=0.2, num_epochs_in_step=1, num_epoch_steps=20
20-05-2023 13:03:26 $ loss = 6.00, ranking_loss = 0.27, regularization_loss = 0.00, independence_loss = 3.47, classification_loss = 2.27, accuracy = 0.58
20-05-2023 13:07:37 $ loss = 5.75, ranking_loss = 0.33, regularization_loss = 0.00, independence_loss = 3.47, classification_loss = 1.96, accuracy = 0.93
20-05-2023 13:11:36 $ loss = 5.38, ranking_loss = 0.33, regularization_loss = 0.00, independence_loss = 3.47, classification_loss = 1.59, accuracy = 0.96
20-05-2023 13:15:33 $ loss = 5.06, ranking_loss = 0.29, regularization_loss = 0.00, independence_loss = 3.47, classification_loss = 1.30, accuracy = 0.97
20-05-2023 13:19:31 $ loss = 4.76, ranking_loss = 0.24, regularization_loss = 0.00, independence_loss = 3.47, classification_loss = 1.05, accuracy = 0.98
20-05-2023 13:23:31 $ loss = 4.48, ranking_loss = 0.19, regularization_loss = 0.00, independence_loss = 3.47, classification_loss = 0.82, accuracy = 0.99
20-05-2023 13:27:29 $ loss = 4.28, ranking_loss = 0.17, regularization_loss = 0.00, independence_loss = 3.47, classification_loss = 0.64, accuracy = 0.99
20-05-2023 13:31:30 $ loss = 4.08, ranking_loss = 0.13, regularization_loss = 0.00, independence_loss = 3.47, classification_loss = 0.48, accuracy = 0.99
20-05-2023 13:35:43 $ loss = 3.94, ranking_loss = 0.11, regularization_loss = 0.00, independence_loss = 3.47, classification_loss = 0.36, accuracy = 0.99
20-05-2023 13:39:50 $ loss = 3.84, ranking_loss = 0.10, regularization_loss = 0.00, independence_loss = 3.47, classification_loss = 0.27, accuracy = 0.99
