"Dataset","Emb. dim","Reg. loss","Class. loss","Batch","Margin","Model","Trained Layers","Whitening","Ind. loss","Epochs","P@1","P@3","P@5","P@10","MAP","Independence","Sparsity"
"CIFAR10",1024,"","Enable","10/10",0.2,"ResNet18","All","Disable","",3,0.9700000286102295,0.949999988079071,0.9399999976158142,0.9419999718666077,0.9473812580108643,0.271989107131958,0.5090444087982178
"CIFAR10",1024,"","Enable","10/10",0.2,"ResNet18","All","Disable","",6,0.8999999761581421,0.9033333659172058,0.9080000519752502,0.9079999327659607,0.9377248287200928,0.2716642916202545,0.5393650531768799
"CIFAR10",1024,"","Enable","10/10",0.2,"ResNet18","All","Disable","NegApproxLoss1",3,0.9200000166893005,0.9266667366027832,0.9240000247955322,0.9269999861717224,0.9379620552062988,0.27327507734298706,0.4835852086544037
"CIFAR10",1024,"","Enable","10/10",0.2,"ResNet18","All","Disable","NegApproxLoss1",6,0.9399999976158142,0.9366666674613953,0.9360000491142273,0.9359999895095825,0.9483500719070435,0.27022144198417664,0.43468067049980164
"CIFAR10",1024,"","Enable","10/10",0.2,"ResNet18","All","Disable","NegApproxLoss2",3,0.9100000262260437,0.9200000166893005,0.9160000085830688,0.9189999103546143,0.9338569045066833,0.2719365656375885,0.5042937994003296
"CIFAR10",1024,"","Enable","10/10",0.2,"ResNet18","All","Disable","NegApproxLoss2",6,0.9100000262260437,0.9033333659172058,0.8999999761581421,0.8959999680519104,0.9119995832443237,0.27131718397140503,0.47138458490371704
"CIFAR10",1024,"","Enable","10/10",0.2,"ResNet18","All","Disable","KurtosisLoss",3,0.800000011920929,0.8200000524520874,0.8040000200271606,0.8030000329017639,0.6561639308929443,0.35623690485954285,0.2775002717971802
"CIFAR10",1024,"","Enable","10/10",0.2,"ResNet18","All","Disable","KurtosisLoss",6,0.9200000166893005,0.9300000071525574,0.9259999990463257,0.9280000329017639,0.9302618503570557,0.20987321436405182,0.5102030634880066
"CIFAR10",1024,"","Enable","10/10",0.2,"ResNet18","All","Disable","CorrMatLoss",3,0.8999999761581421,0.8900001049041748,0.8819999694824219,0.8820000290870667,0.8523252010345459,0.07786312699317932,0.44197362661361694
"CIFAR10",1024,"","Enable","10/10",0.2,"ResNet18","All","Disable","CorrMatLoss",6,0.9200000166893005,0.9133333563804626,0.9100000858306885,0.9100000262260437,0.9207493662834167,0.0725453570485115,0.48325949907302856
